Img,Pro
"('182814.jpg',)",0.63037109375
"('173115.jpg',)",0.6015625
"('146484.jpg',)",0.56494140625
"('192705.jpg',)",0.8173828125
"('160417.jpg',)",0.84228515625
"('065856.jpg',)",0.71337890625
"('003021.jpg',)",0.86181640625
"('068946.jpg',)",0.87255859375
"('046881.jpg',)",0.9638671875
"('188973.jpg',)",0.6240234375
"('001894.jpg',)",0.9013671875
"('191997.jpg',)",0.52294921875
"('027735.jpg',)",0.60791015625
"('072882.jpg',)",0.494140625
"('155804.jpg',)",0.580078125
"('053595.jpg',)",0.68798828125
"('086222.jpg',)",0.7880859375
"('048508.jpg',)",0.611328125
"('201046.jpg',)",0.81103515625
"('068682.jpg',)",0.685546875
"('158934.jpg',)",0.5634765625
"('127963.jpg',)",0.8955078125
"('120716.jpg',)",0.7333984375
"('053499.jpg',)",0.7919921875
"('085548.jpg',)",0.916015625
"('086238.jpg',)",0.8779296875
"('013512.jpg',)",0.60595703125
"('098036.jpg',)",0.62451171875
"('103576.jpg',)",0.5712890625
"('181033.jpg',)",0.74658203125
"('110440.jpg',)",0.51708984375
"('117267.jpg',)",0.5703125
"('128002.jpg',)",0.9814453125
"('010035.jpg',)",0.61865234375
"('169378.jpg',)",0.607421875
"('021678.jpg',)",0.63427734375
"('077907.jpg',)",0.873046875
"('017032.jpg',)",0.6669921875
"('028256.jpg',)",0.8759765625
"('052411.jpg',)",0.9521484375
"('087204.jpg',)",0.86328125
"('183858.jpg',)",0.52392578125
"('113933.jpg',)",0.61474609375
"('073020.jpg',)",0.708984375
"('179416.jpg',)",0.65478515625
"('097592.jpg',)",0.9462890625
"('158982.jpg',)",0.61328125
"('143669.jpg',)",0.80029296875
"('194423.jpg',)",0.73583984375
"('027574.jpg',)",0.71875
"('154612.jpg',)",0.51611328125
"('089192.jpg',)",0.489501953125
"('086939.jpg',)",0.7939453125
"('139073.jpg',)",0.8779296875
"('159678.jpg',)",0.65966796875
"('196617.jpg',)",0.76953125
"('111262.jpg',)",0.56884765625
"('117980.jpg',)",0.5419921875
"('018810.jpg',)",0.493896484375
"('062937.jpg',)",0.63330078125
"('011459.jpg',)",0.7998046875
"('047944.jpg',)",0.544921875
"('155194.jpg',)",0.86767578125
"('194593.jpg',)",0.5478515625
"('188910.jpg',)",0.669921875
"('014758.jpg',)",0.49853515625
"('164999.jpg',)",0.681640625
"('006883.jpg',)",0.73583984375
"('130494.jpg',)",0.7294921875
"('180935.jpg',)",0.72265625
"('088657.jpg',)",0.5810546875
"('069870.jpg',)",0.53125
"('166485.jpg',)",0.7626953125
"('002264.jpg',)",0.75439453125
"('005974.jpg',)",0.6552734375
"('151108.jpg',)",0.595703125
"('091475.jpg',)",0.480224609375
"('177328.jpg',)",0.90966796875
"('096864.jpg',)",0.71435546875
"('125757.jpg',)",0.560546875
"('047757.jpg',)",0.5048828125
"('197665.jpg',)",0.54296875
"('037942.jpg',)",0.50341796875
"('028518.jpg',)",0.58251953125
"('166860.jpg',)",0.8857421875
"('016520.jpg',)",0.5029296875
"('033485.jpg',)",0.50537109375
"('067700.jpg',)",0.9462890625
"('037173.jpg',)",0.60400390625
"('069658.jpg',)",0.68798828125
"('185711.jpg',)",0.55126953125
"('165849.jpg',)",0.5087890625
"('140846.jpg',)",0.6796875
"('140747.jpg',)",0.7158203125
"('127054.jpg',)",0.576171875
"('043217.jpg',)",0.83642578125
"('054196.jpg',)",0.84326171875
"('132649.jpg',)",0.5654296875
"('016149.jpg',)",0.9169921875
"('048774.jpg',)",0.6630859375
"('189305.jpg',)",0.45263671875
"('129568.jpg',)",0.51806640625
"('180955.jpg',)",0.69287109375
"('086289.jpg',)",0.58642578125
"('119517.jpg',)",0.58984375
"('000083.jpg',)",0.794921875
"('196898.jpg',)",0.54833984375
"('085273.jpg',)",0.9267578125
"('009997.jpg',)",0.62890625
"('176917.jpg',)",0.9248046875
"('068573.jpg',)",0.6884765625
"('048257.jpg',)",0.5419921875
"('158444.jpg',)",0.53369140625
"('148296.jpg',)",0.59912109375
"('003651.jpg',)",0.740234375
"('193416.jpg',)",0.990234375
"('194165.jpg',)",0.833984375
"('186260.jpg',)",0.76953125
"('155163.jpg',)",0.572265625
"('020500.jpg',)",0.5576171875
"('124026.jpg',)",0.83056640625
"('026033.jpg',)",0.560546875
"('132496.jpg',)",0.609375
"('022633.jpg',)",0.802734375
"('178669.jpg',)",0.8994140625
"('094986.jpg',)",0.75048828125
"('187939.jpg',)",0.68017578125
"('081848.jpg',)",0.53076171875
"('047055.jpg',)",0.71630859375
"('155220.jpg',)",0.728515625
"('146151.jpg',)",0.5615234375
"('189951.jpg',)",0.59912109375
"('053457.jpg',)",0.54248046875
"('049774.jpg',)",0.90087890625
"('012801.jpg',)",0.5244140625
"('028713.jpg',)",0.62255859375
"('053729.jpg',)",0.6728515625
"('173286.jpg',)",0.853515625
"('026985.jpg',)",0.5126953125
"('146794.jpg',)",0.66259765625
"('167403.jpg',)",0.58837890625
"('198956.jpg',)",0.8740234375
"('063858.jpg',)",0.953125
"('145288.jpg',)",0.6728515625
"('018631.jpg',)",0.763671875
"('194680.jpg',)",0.52197265625
"('054881.jpg',)",0.626953125
"('139920.jpg',)",0.755859375
"('122152.jpg',)",0.6611328125
"('025763.jpg',)",0.5380859375
"('083247.jpg',)",0.57373046875
"('091795.jpg',)",0.646484375
"('023076.jpg',)",0.634765625
"('011365.jpg',)",0.50830078125
"('106632.jpg',)",0.50830078125
"('012030.jpg',)",0.5791015625
"('152255.jpg',)",0.93603515625
"('116077.jpg',)",0.5087890625
"('000093.jpg',)",0.54638671875
"('006265.jpg',)",0.84033203125
"('188232.jpg',)",0.7705078125
"('147612.jpg',)",0.568359375
"('032320.jpg',)",0.9140625
"('162682.jpg',)",0.6591796875
"('107542.jpg',)",0.64208984375
"('173693.jpg',)",0.77734375
"('027190.jpg',)",0.59814453125
"('062503.jpg',)",0.849609375
"('077688.jpg',)",0.7841796875
"('098342.jpg',)",0.525390625
"('162615.jpg',)",0.62060546875
"('099695.jpg',)",0.875
"('099999.jpg',)",0.64697265625
"('072867.jpg',)",0.47802734375
"('064877.jpg',)",0.7646484375
"('113103.jpg',)",0.7421875
"('029515.jpg',)",0.494873046875
"('009860.jpg',)",0.77783203125
"('040253.jpg',)",0.52587890625
"('151221.jpg',)",0.496337890625
"('069915.jpg',)",0.83251953125
"('177266.jpg',)",0.82861328125
"('037690.jpg',)",0.974609375
"('180002.jpg',)",0.55908203125
"('029815.jpg',)",0.5
"('064384.jpg',)",0.701171875
"('118486.jpg',)",0.92236328125
"('104196.jpg',)",0.92578125
"('201687.jpg',)",0.53173828125
"('021986.jpg',)",0.7158203125
"('103654.jpg',)",0.67138671875
"('195307.jpg',)",0.60791015625
"('180509.jpg',)",0.5517578125
"('032308.jpg',)",0.7841796875
"('000745.jpg',)",0.72412109375
"('193273.jpg',)",0.685546875
"('182783.jpg',)",0.73291015625
"('100690.jpg',)",0.89306640625
"('144301.jpg',)",0.697265625
"('170774.jpg',)",0.65869140625
"('122185.jpg',)",0.498779296875
"('146044.jpg',)",0.5185546875
"('147259.jpg',)",0.8095703125
"('099518.jpg',)",0.54833984375
"('184097.jpg',)",0.92626953125
"('185477.jpg',)",0.869140625
